NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
194,110,40,100
168,110,64,98
171,105,62,102
176,104,68,100
180,106,61,97
185,107,59,99
185,108,60,98
189,112,57,96
192,115,55,89
192,117,56,92
193,118,54,93
194,117,50,84
189,115,52,90
199,113,43,86
199,110,48,85
205,107,47,89
199,103,58,92
204,102,46,94
204,104,51,91
198,102,54,92
198,102,65,91
199,102,64,89
201,100,58,90
207,99,49,90
209,98,44,92
212,97,41,94
209,98,49,94
214,97,41,96
212,98,45,95
209,99,52,96
206,101,59,92
204,102,51,91
205,102,69,91
208,102,72,89
211,105,71,90
211,107,74,88
218,108,37,92
221,109,33,92
218,107,33,95
211,108,45,100
211,114,39,94
205,115,44,91
200,115,50,92
197,117,52,88
195,116,52,87
191,113,50,89
193,111,42,90
190,108,38,92
193,105,33,95
186,102,37,98
191,102,31,99
191,104,35,100
188,106,41,99
186,106,46,101
184,108,47,101
189,111,48,96
190,112,49,95
194,111,45,94
193,109,43,95
192,107,43,101
198,109,37,99
202,110,33,96
202,110,37,94
203,110,41,91
212,109,36,90
208,104,48,92
209,104,51,90
208,104,50,88
206,104,46,85
200,103,45,88
194,104,40,88
190,105,39,86
196,99,25,88
194,96,27,88
191,86,33,93
191,83,38,91
192,82,40,89
192,80,42,91
193,80,42,91
194,77,42,94
197,79,40,87
198,82,38,90
200,86,33,91
202,93,27,90
202,99,29,89
200,103,31,85
205,108,23,81
201,109,34,82
199,116,37,77
199,118,43,78
188,123,57,76
199,129,47,75
199,134,45,75
203,134,38,78
193,137,46,89
204,134,35,84
208,139,21,81
208,138,22,83
200,135,31,86
201,139,28,83
181,139,51,92
169,138,66,99
173,136,66,99
177,136,63,97
180,134,60,99
184,132,56,99
195,130,43,84
193,130,46,94
193,128,49,100
197,143,50,86
199,140,52,90
203,143,51,88
208,150,50,82
211,140,50,93
216,151,50,83
217,158,53,77
224,160,50,76
229,151,50,87
234,163,50,76
238,164,50,76
242,161,51,80
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
