NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
99,33,92,126
99,29,91,127
98,27,94,126
97,25,93,120
96,22,122,121
97,13,118,127
97,6,125,127
97,6,127,113
97,6,126,107
96,6,127,105
96,6,126,105
97,6,126,105
96,6,127,105
96,6,127,105
96,6,127,105
96,6,127,104
96,6,125,104
96,6,125,104
96,6,127,104
96,6,127,102
96,6,127,102
97,6,127,103
97,6,126,103
97,6,126,102
98,6,127,102
98,6,127,102
98,6,125,99
98,6,125,102
98,6,127,100
99,6,127,100
98,6,126,100
98,6,127,101
98,6,127,99
97,6,127,99
97,6,127,101
96,6,127,101
94,6,127,101
92,6,127,101
88,6,127,96
83,6,127,96
80,6,127,93
73,6,127,92
65,6,127,80
62,6,127,79
55,6,127,77
48,6,127,82
46,6,127,47
42,6,126,44
39,6,127,38
38,6,127,74
36,6,127,35
34,6,127,34
33,6,127,71
31,6,127,36
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
82,43,96,97
85,38,97,95
88,34,97,94
78,34,91,93
85,35,82,83
68,36,96,83
55,36,96,80
50,36,99,79
35,35,94,81
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
85,40,106,98
76,32,103,93
64,31,101,77
51,26,106,80
43,32,106,81
29,33,106,73
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
120,46,64,105
133,42,51,99
131,39,52,104
128,40,54,103
126,43,65,107
112,48,95,97
135,52,82,97
112,50,107,102
128,61,95,101
128,65,95,95
128,70,95,87
138,57,74,93
123,68,101,65
120,69,111,60
130,63,106,54
129,70,113,49
123,55,117,50
136,63,106,47
136,58,104,63
152,59,87,50
161,81,72,44
149,78,76,56
145,77,82,45
157,66,87,59
150,82,81,45
147,71,87,57
140,94,57,47
136,97,54,37
135,100,67,35
132,98,67,43
136,90,66,45
136,88,66,42
143,85,64,50
152,84,55,43
152,78,55,43
152,72,51,41
128,73,57,45
112,71,68,44
96,63,103,43
112,53,65,39
92,55,85,36
87,22,105,76
87,26,117,73
91,6,117,94
94,6,117,97
96,6,117,100
96,6,117,101
97,6,117,101
98,6,117,95
99,6,116,82
98,6,117,92
97,6,117,87
101,6,117,85
99,6,116,78
96,6,117,77
93,6,117,71
90,6,117,69
88,6,117,68
87,6,117,67
84,6,117,66
81,6,117,64
NaN,NaN,NaN,-2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,-1
158,67,50,67
158,65,54,65
152,62,61,65
151,61,60,64
151,61,60,66
152,61,68,67
156,61,64,67
157,61,67,67
157,61,66,68
156,61,67,66
154,61,66,66
151,61,65,66
149,61,66,66
146,62,65,65
144,62,67,66
144,62,64,65
